keywords,year,_title,_creator,_date,_recipient,_period,_script,_genre,_theme,_relationship,_human_note,_ai_note,_confidence,_source,id
"明早期,行楷,题诗,家族记忆,倪瓒",1370,题《本中书室图》,倪瓒,洪武三年（1370）,徐麒（字本中）,明早期,行楷（待复核）,题诗,家族记忆,父辈旧交题赠少年徐麒,原画已佚，题字经刻石与拓本保存下来；它把一件消失的书画转化为徐氏家族记忆的起点。,机器初看容易把高反差拓片当作纯文本页面；人工校正后，重点转向行列节奏、字距变化与缺损痕迹。,日期明确；书体标签待研究者复核,张书颜硕士论文 2025 年 5 月 30 日终稿及个人整理的晴山堂拓片图像,001
"明早期,行书,题诗,功业与归隐,解缙",1405,题心远先生喻蜀归图,解缙,明早期（暂置约 1405）,徐麒（号心远）,明早期,行书（待复核）,题诗,功业与归隐,文人题赠徐麒奉使归乡,与徐麒奉使西蜀、功成归隐的家族叙事相连，题赠把个人经历转化为可传承的公共声望。,机器可辅助标记纵向行列和印章区域，但无法仅凭图像判断题赠关系与‘心远’身份。,事件与人物明确；具体作年待考,张书颜硕士论文 2025 年 5 月 30 日终稿及个人整理的晴山堂拓片图像,002
"明早期,楷书,题诗,义民与隐居,沈度",1425,题退庵,沈度,明早期（暂置约 1425）,徐忞（号退庵）,明早期,楷书（待复核）,题诗,义民与隐居,名士题赠徐氏第二代文化空间,‘退庵’与徐氏不逐仕进、读书修身的家族形象相连，是空间命名参与身份建构的例子。,规则化纵列会得到较高版面置信度，但书体与文化语义仍需结合题名和论文判断。,人物关系明确；具体作年待考,张书颜硕士论文 2025 年 5 月 30 日终稿及个人整理的晴山堂拓片图像,003
"明早期,楷书,赞,君恩与义民,王直",1440,敕书楼赞,王直,正统年间（1436—1449，暂置 1440）,徐忞,明早期,楷书（待复核）,赞,君恩与义民,朝廷旌表之后的名士题赞,敕书楼把赈灾义举、国家认可与家族空间连接起来，是徐氏声望形成的重要节点。,长卷式拓片便于识别整体版式，机器却难以区分褒扬文本中的官方语言与家族自我叙事。,正统年间及事件关系由终稿明确；具体作年待考,张书颜硕士论文 2025 年 5 月 30 日终稿及个人整理的晴山堂拓片图像,004
"明中期,小楷,墓志铭,家族记忆,李东阳撰",1510,明故中书舍人徐君墓志铭,李东阳撰、文徵明书,正德庚午（1510）,徐颐,明中期,小楷,墓志铭,家族记忆,名臣撰文与吴门书家重录,撰文与书写由不同名士完成，说明石刻既保存文本，也物化了徐氏与文化精英之间的协作网络。,密集小楷对通用 OCR 极不友好；项目保留误读风险，不把自动转写结果当成史料。,日期与书体由论文明确,张书颜硕士论文 2025 年 5 月 30 日终稿及个人整理的晴山堂拓片图像,005
"明中期,隶书,像赞,肖像与身份,文徵明",1509,内翰徐公像赞,文徵明,约正德四年（1509）,徐颐,明中期,隶书,像赞,肖像与身份,吴门书家为徐氏先人作像赞,这是法帖中少见的隶书作品，为观察文徵明早期书风和明代隶体提供了独特样本。,机器能量化字面密度与规整度，却不能替代对取法、古意和程式化的书学判断。,书体与作者年龄由论文明确,张书颜硕士论文 2025 年 5 月 30 日终稿及个人整理的晴山堂拓片图像,006
"明中期,小楷,赞,肖像与身份,祝允明",1515,中翰徐公赞,祝允明,正德十年仲春既望（1515 年农历二月二十六日）,徐颐,明中期,小楷,赞,肖像与身份,吴门书家为徐氏先人题赞,作品位于祝允明小楷持续成熟的阶段，提按、转折与欹正关系构成重要的视觉观察线索。,机器描述可指出纵列、字距和墨色差异；具体笔法来源与风格阶段必须由美术史知识校正。,日期与书体明确；对象据终稿同章谱系表述核为徐颐,张书颜硕士论文 2025 年 5 月 30 日终稿及个人整理的晴山堂拓片图像,007
"明晚期,行书,寿叙,母仪与纪念,陈继儒",1624,寿江阴徐太君王孺人八十叙,陈继儒,天启四年（1624）,王孺人,明晚期,行书,寿叙,母仪与纪念,王孺人八十寿辰的文人题赠,围绕王孺人寿辰形成的集中创作，把家庭纪念转化为跨地域的文人共同书写。,单页图像只能显示书写节奏；人工叙事补回寿辰、家族关系与雅集语境。,事件年份与书体由论文明确,张书颜硕士论文 2025 年 5 月 30 日终稿及个人整理的晴山堂拓片图像,008
"明晚期,行书,题画诗,母仪与东林交游,高攀龙",1624,题《秋圃晨机图》诗（“吾闻东海有贤母”）,高攀龙,天启四年（1624）,王孺人、徐霞客,明晚期,行书（待复核）,题画诗,母仪与东林交游,东林领袖参与徐母寿辰题赠,原画已失，题诗成为东林人物与徐氏交往的物证，也让女性家族记忆留在男性文人网络之中。,机器无法从残存拓片推断已经消失的《秋圃晨机图》；缺席本身需要研究者解释。,事件、诗文开篇与东林交游由终稿明确；书体待复核,张书颜硕士论文 2025 年 5 月 30 日终稿及个人整理的晴山堂拓片图像,009
"明晚期,行楷,墓志铭,父母纪念,董其昌",1625,明故徐豫庵隐君暨配王孺人合葬墓志铭,董其昌,天启五年（1625）,徐有勉、王孺人,明晚期,行楷,墓志铭,父母纪念,徐霞客远行求书于董其昌,徐霞客‘匍匐五百里’求得此作，书写行为本身成为孝道、名家声望与家族纪念的连接点。,视觉模型容易受拓片拼接、破损和底色影响；人工校正把关注点移回晚年董书的欹正与疏密。,年份、书体与求书经过由论文明确,张书颜硕士论文 2025 年 5 月 30 日终稿及个人整理的晴山堂拓片图像,010
"明晚期,行书,记,空间与传承,陈仁锡",1624,晴山堂记,陈仁锡,天启四年寿辰语境（1624，暂置）,晴山堂、徐氏家族,明晚期,行书（待复核）,记,空间与传承,友人为家族纪念空间作记,‘人亡而不亡者石，石忘而不忘者文’概括了晴山堂以材料保存记忆的核心逻辑。,机器可定位文本与印章，却无法自行理解‘石—文—人’之间的纪念关系。,文本、作者与王孺人八十寿辰语境明确；具体作年、书体待复核,张书颜硕士论文 2025 年 5 月 30 日终稿及个人整理的晴山堂拓片图像,011
"明晚期,行草,唱和诗,知己与唱和,黄道周",1632,灯下依韵和徐振之诗（“野水笑人旷”）,黄道周,崇祯五年（1632）,徐霞客,明晚期,行草（待复核）,唱和诗,知己与唱和,黄道周与徐霞客诗文唱和,作为现存序列中最晚的作品之一，它将家族题赠传统收束到徐霞客本人的知己交往。,破损与强烈的字势会降低通用识读稳定性；人工标注保留‘无法确认’，不强行补全文字。,年份、唱和关系与诗组线索由终稿明确；书体待复核,张书颜硕士论文 2025 年 5 月 30 日终稿及个人整理的晴山堂拓片图像,012
